date,Year,IND_VOL,Accumulator,LABNO,FIELDNOTES,Temperature,TEMP_F,VWSP,V_WSP_F,WSP,S_WSP_F,WDR,WIND_DIR_F,LWC,LWC_F,PSA,SR,SOLAR_RAD_F,SIG_T,RainCount,RAIN_HR_F,CloudCount
6/10/2014 18:00,2014,,215,14C3001,,10.14,,3,,4.1,,77,,0.18,,665,150,,61,0,,47
6/10/2014 19:00,2014,58,215,14C3001,,9.64,,5,,5.3,,76,,0.33,,976,78,,35,0,,60
6/10/2014 20:00,2014,57,215,14C3001,,8.94,,5,,5.4,,76,,0.24,,978,8,,30,0,,60
6/10/2014 21:00,2014,100,215,14C3001,,8.25,,5,,5.7,,76,,0.08,,350,2,,26,0,,45
6/10/2014 22:00,2014,,215,14C3001,,8.46,,8,,7.9,,82,,0.03,,87,2,,22,0,,10
6/10/2014 23:00,2014,,215,14C3001,,9.73,,9,,8.7,,86,,0.34,,1288,2,,18,0,,60
6/11/2014 0:00,2014,,215,14C3001,,10.16,,11,,10.9,,91,,0.35,,1293,2,,9,14.57,,53
6/11/2014 1:00,2014,,215,14C3001,,10.12,,11,,10.9,,94,,0.38,,1266,2,,10,15.91,,49
6/11/2014 2:00,2014,,215,14C3001,,9.79,,10,,10.3,,92,,0.17,,526,2,,9,21.76,,31
6/11/2014 3:00,2014,,215,14C3001,,9.83,,8,,8.5,,91,,0.02,,49,2,,20,0,,11
6/11/2014 4:00,2014,,215,14C3001,,9.89,,11,,11.4,,92,,0.03,,65,2,,12,0,,6
6/11/2014 5:00,2014,,215,14C3001,,8.11,,13,,13.4,,93,,0.14,,381,38,,6,0,,55
6/11/2014 6:00,2014,37,988,14C3002,,8.54,,13,,13.2,,96,,0.06,,184,164,,10,0,,15
6/11/2014 7:00,2014,,988,14C3002,,9.67,,16,,16,,107,,0.01,,7,294,,10,0,,0
6/11/2014 8:00,2014,,988,14C3002,,9.62,,13,,13.4,,107,,0.01,,7,383,,14,0,,0
6/11/2014 9:00,2014,,988,14C3002,,9.56,,10,,10.7,,105,,0.01,,7,466,,15,0,,0
6/11/2014 10:00,2014,,988,14C3002,,9.39,,11,,11.8,,111,,0.01,,7,362,,16,0,,0
6/11/2014 11:00,2014,,988,14C3002,,8.79,,13,,13,,119,,0.01,,7,381,,13,0,,0
6/11/2014 12:00,2014,,988,14C3002,,6.35,,13,,13.3,,127,,0.01,,6,186,,9,0,,0
6/11/2014 13:00,2014,,988,14C3002,,6.12,,16,,15.9,,143,,0.01,,7,133,,8,0,,0
6/11/2014 14:00,2014,,988,14C3002,,5.8,,14,,14,,127,,0.07,,200,113,,12,5.21,,35
6/11/2014 15:00,2014,314,988,14C3002,,6.55,,16,,16.2,,135,,0.15,,425,80,,12,4.37,,47
6/11/2014 16:00,2014,397,988,14C3002,,6.76,,15,,14.7,,149,,0.22,,544,54,,7,19.52,,46
6/11/2014 17:00,2014,240,988,14C3002,,6.45,,13,,12.8,,165,,0.32,,886,90,,7,0,,60
6/11/2014 18:00,2014,213,338,14C3003,,7.01,,13,,13.3,,184,,0.52,,1808,32,,4,24.59,,42
6/11/2014 19:00,2014,123,338,14C3003,,7.49,,13,,12.7,,194,,0.53,,1954,24,,3,23.62,,42
6/11/2014 20:00,2014,1,338,14C3003,,7.98,,14,,13.6,,202,,0.56,,2487,3,,2,44.73,,31
6/11/2014 21:00,2014,1,338,14C3003,,8.15,,14,,14.1,,200,,0.64,,2795,2,,4,49.03,,26
6/11/2014 22:00,2014,,338,14C3003,,8.47,,17,,16.7,,205,,0.6,,2684,2,,8,35.54,,29
6/11/2014 23:00,2014,,338,14C3003,,8.24,,16,,16.3,,208,,0.67,,3167,2,,8,50.5,,27
6/12/2014 0:00,2014,,338,14C3003,,7.73,,17,,17,,210,,0.52,,2833,2,,10,38.79,,38
6/12/2014 1:00,2014,,338,14C3003,,7.67,,15,,15.6,,216,,0.51,,2853,2,,10,49.05,,23
6/12/2014 2:00,2014,,338,14C3003,,7.69,,14,,13.7,,220,,0.51,,2714,2,,10,40.36,,23
6/12/2014 3:00,2014,,338,14C3003,,7.96,,14,,14.2,,222,,0.43,,2402,2,,9,27.64,,40
6/12/2014 4:00,2014,,338,14C3003,,8.5,,10,,10.6,,232,,0.51,,2185,2,,13,20.53,,46
6/12/2014 5:00,2014,,338,14C3003,,9.67,,10,,10.3,,235,,0.39,,1579,6,,20,25.39,,44
6/12/2014 6:00,2014,,2393,14C3004,,10.81,,8,,8.5,,236,,0.17,,751,26,,23,3.35,,55
6/12/2014 7:00,2014,38,2393,14C3004,,11.17,,8,,8.4,,235,,0.06,,225,79,,19,12.71,,25
